order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Papilionidae,Battus,Battus philenor,offset,0.03630468761516724,0.00752187682678313,4.826546412711415,5.499635116837651e-6,0.2796838985139335,0.31682004237723105,0.12606411458370648,98,0.9999897481552701,0.5769308525200554,0
Hymenoptera,Apidae,Bombus,Bombus griseocollis,onset,-0.009160975928973119,0.003800389750481537,-2.4105359003803115,0.01918802660214967,0.4066956535239906,0.4649287814133368,0.07861826324082155,64,0.5787283961173072,0.5875351511048155,0
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,offset,0.02122542499143371,0.009573760688169872,2.2170415245141433,0.030850883078254655,0.04848529789196543,0.12912726448228515,0.0596632533825235,60,0.8762314950305289,0.6580146670139041,0
Lepidoptera,Papilionidae,Papilio,Papilio troilus,duration,-0.020250245693510683,0.008137576842085362,-2.488485956750891,0.016232542260310234,0.19862459192464,0.29015525435769496,0.09123894658558848,57,0.8683154044120173,0.4028925714485133,0
Lepidoptera,Papilionidae,Papilio,Papilio troilus,onset,0.016539571496567318,0.0070079243372024765,2.360124153847503,0.022289133591373442,0.2799652141786978,0.3691042839395009,0.06283551685255867,57,0.904960224042373,0.38168594711644077,0
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,duration,-0.04893262971425765,0.019399634981062657,-2.52234795974379,0.020116787534356032,0.6837789329095252,0.8313029935252421,0.4199402878431012,39,3.70860880099066e-9,0.019432509204026116,38.825218026398545
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,onset,0.024049501032368158,0.010449963616275995,2.3013956713601043,0.028114857321833085,0.6818493061100863,0.7353021725282921,0.02250366490549438,39,0.8868130820880064,0.07088830699788862,0
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,duration,0.0380735897247564,0.016143558163396635,2.358438538728295,0.02858856414827796,0.4979113283654716,0.6745057097687888,0.48085579564055203,32,0.003665512051552842,0.028431377134062075,11.210229985940146
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,offset,0.025208516059769724,0.011895703571793514,2.119127793293612,0.04686687770062224,0.5502907023024151,0.7115760139338448,0.37634399105792565,32,0.5551524566933518,0.032067049171081,0
Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,duration,0.030267650554192702,0.014059904721760297,2.152763560861684,0.04128798656282205,0.2736542007344106,0.4010196196926814,0.12370724564648905,31,0.5908616757928475,0.6358993724135238,0
Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,offset,0.03131465299525309,0.013257587949446545,2.362017368065837,0.02697673681533163,0.16436126847156995,0.3566198777089058,0.1655231291640242,31,0.6569895250212165,0.7273015628023745,0
Lepidoptera,Lycaenidae,Calycopis,Calycopis cecrops,offset,0.02903885907479357,0.010157033681216189,2.8589901329653267,0.009396585268677305,0.12688090183680278,0.2947903890069147,0.2744893328974418,27,0.9302651762535085,0.5723040039599564,0
Hymenoptera,Scoliidae,Scolia,Scolia dubia,duration,-0.01024946563652156,0.0023396803230523043,-4.380711986819761,0.037307394652109326,0.9922376820718188,0.9991071205455774,0.029453429458994762,21,1,0.009893818385732445,0
Coleoptera,Cantharidae,Chauliognathus,Chauliognathus marginatus,duration,-0.0068120474618806525,0.0025725192258408843,-2.6480064341031255,0.02468225120406488,0.7144993654360164,0.8519321289016476,0.14552056254196422,20,4.7052772287717244e-8,0.9993969820139613,33.74399200687239
Lepidoptera,Erebidae,Hypoprepia,Hypoprepia fucosa,duration,-0.29607036980252166,0.11691140486711218,-2.5324335990919895,0.027492740730740265,0.7286080170021392,0.8398009883719598,0.1277373474395368,20,7.992189729609368e-5,0.6172466282094751,18.86876151774686
Lepidoptera,Erebidae,Hypoprepia,Hypoprepia fucosa,offset,-0.21452914703606507,0.08276312498613472,-2.5920861140997884,0.022677821340330886,0.45785252183129477,0.6374464126253414,0.15774880959478327,20,0.6976673710538209,0.12596104990612977,0
