order,family,genus,species,model,pop_den_estimate,pop_den_se,pop_den_tval,pop_den_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,offset,0.008177415816559064,0.001734873087922943,4.713552751198291,4.498987503116051e-6,0.4731285948738444,0.4945792621346823,0.05460563072359775,214,0.9999076811867719,0.0054364077487054074,0
Hymenoptera,Apidae,Apis,Apis mellifera,duration,0.013076121604685595,0.005632327804188577,2.3216194190546426,0.021446421310782986,0.29789535125401045,0.344256475551741,-0.003436622578628812,182,0.5705380056450506,0.043133692023134995,0
Hymenoptera,Apidae,Apis,Apis mellifera,onset,-0.006969754985012924,0.0046576579943184366,-1.4964076352353177,0.13645493258686714,0.37457713588479413,0.42900154491262554,-0.0017670191730592144,182,0.28163920723092667,6.772591563580233e-4,1.8726901898321557
Hymenoptera,Apidae,Apis,Apis mellifera,offset,0.004774180422594412,0.004103901877392018,1.1633271372531813,0.24633467972609763,0.16197770664015287,0.2165734951811696,0.006568703275874138,182,0.3857430158695134,0.035778368152942275,0.9304839915232606
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,duration,0.0024811494366461105,0.004035263229573194,0.6148668117763756,0.5397145356227764,0.1574987911304837,0.19248514100725672,0.0034338716094418076,137,0.28049876700692805,0.502252170452324,1.8839778215010483
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,onset,5.894736044550167e-4,0.003644957853576471,0.16172302345735465,0.8717731427994999,0.104854759039534,0.13777920921805034,1.7380708124581368e-4,137,0.25020036720482713,0.6226616340825673,2.1950878977754655
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,offset,0.005132992925657716,0.002473043063198785,2.075577656548523,0.03997870786990216,0.16487298473083123,0.23067114588431667,0.0575906312019569,137,0.7413817806590481,0.333889386415632,0
Lepidoptera,Attevidae,Atteva,Atteva punctella,duration,-0.007693715615917667,0.0054389674338711546,-1.414554455319051,0.16079309172447703,0.14743993739562122,0.25598069019087266,0.011028462499818786,100,0.4340614144422836,0.6340298389914112,0.5305990684271364
Lepidoptera,Attevidae,Atteva,Atteva punctella,onset,0.005552150293007275,0.004236825624170346,1.3104505083554143,0.19343734465684737,0.17924740078396617,0.2669612895601794,0.009305748543934345,100,0.3850476049215192,0.48108441832455223,0.9363557652867485
Lepidoptera,Attevidae,Atteva,Atteva punctella,offset,-7.608517907558519e-4,0.0034061657575984567,-0.2233748575090768,0.8237604131370355,0.2002251644965748,0.28760448609645045,2.2564652979095712e-4,100,0.2102177063656542,0.4164684726685896,2.6472272782139044
Lepidoptera,Nymphalidae,Dione,Dione vanillae,duration,0.002694871785819932,0.005343789069953017,0.5042998049778236,0.6152661462601852,0.11133590904276758,0.18082304656855863,0.0019580046496536774,100,0.24129775994025296,0.07900220408541186,2.2911554110937686
Lepidoptera,Nymphalidae,Dione,Dione vanillae,onset,-0.0024203374431613447,0.0044073175908918225,-0.5491633841326121,0.5842251997001904,0.1354828723957231,0.1974551231990669,-0.0050160111123237205,100,0.24949697403161675,0.05298617158493324,2.2025937920274146
Lepidoptera,Nymphalidae,Dione,Dione vanillae,offset,0.003985916227502002,0.003046467066506967,1.3083733191549627,0.19428605331803755,0.2351942765245706,0.3456611891155074,0.03465633664866041,100,0.5811025688058536,0.01752099662014439,0
Lepidoptera,Papilionidae,Battus,Battus philenor,duration,0.008455191253739324,0.01001736992904693,0.8440530112821506,0.40091842216953366,0.19260839448467737,0.264280291220615,0.009652247630894895,98,0.3006886914368758,0.5141367884924726,1.6880410480257524
Lepidoptera,Papilionidae,Battus,Battus philenor,onset,0.025607345779569225,0.010318762845201475,2.481629451487722,0.015022584637185313,0.26373477615792107,0.34687499860933857,0.02324092002375472,98,0.8595304385360457,0.19995257557132967,0
Lepidoptera,Papilionidae,Battus,Battus philenor,offset,0.03630468761516724,0.00752187682678313,4.826546412711415,5.499635116837651e-6,0.2796838985139335,0.31682004237723105,0.12606411458370648,98,0.9999897481552701,0.5769308525200554,0
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,duration,-0.0019685273666927927,0.005942280223238478,-0.33127474517180655,0.7412391510441589,0.3602438866664077,0.40567576895780666,-0.001280377756499529,94,0.2580461942547189,0.17915484336559373,2.1122967368559102
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,onset,0.006675037859873847,0.006062541270932743,1.1010296774189001,0.27399272885131043,0.3338723254183388,0.3913327200466423,0.003934748204957428,94,0.343889857462772,0.1551704065734299,1.2920145014992386
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,offset,0.006353371960184091,0.0044178410306252225,1.4381169254713875,0.1539751456593655,0.05995198055590523,0.11733305375823978,0.01441430679234261,94,0.475593606046889,0.6927674862150406,0.19540644790811257
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,duration,-0.004074082952069095,0.006635365029097747,-0.6139953015701797,0.5410179932033509,0.1904546580313522,0.2536729206083178,0.004247178458251899,85,0.2662105515067238,0.2067558192579555,2.0278691797172996
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,onset,0.006132334764002129,0.006601990384185475,0.9288615110212265,0.3558309595640001,0.2273304925207048,0.2836383828996789,0.008246079903188208,85,0.3195336920558909,0.10777236622116165,1.511831178855573
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,offset,0.0023151388796580916,0.003215737785335877,0.7199401923301655,0.47368649095204907,-0.02007976537128875,0.04064643521566559,0.006292775596148215,85,0.28690138204092003,0.4668624473025336,1.8209623696602648
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,duration,-0.0037005598398427205,0.008584897453645077,-0.43105463516882114,0.6680521222444413,0.4903591742238156,0.5783822280129532,0.009631976314520174,70,0.16417489377506223,0.6906528156895022,3.2549742061285087
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,onset,0.006149688775263724,0.007592734155340887,0.8099439081424845,0.4211095722241729,0.48188339216750675,0.5403045682964633,0.00452300556016072,70,0.2556526917493188,0.992877921565593,2.1373757751271114
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,offset,0.005007907801432568,0.005684890857645126,0.880915381989763,0.3817410893322085,0.02194349322521616,0.11471412327261293,4.5293461387906075e-4,70,0.33525751223969963,0.544403966399988,1.3690015988504456
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,duration,-0.0015897372117561035,0.004722047062369776,-0.3366627207985276,0.7375585795312986,0.3529352000996926,0.41806309289360055,0.0031703838117165817,67,0.229951156437398,0.01673386136393401,2.4171740459577222
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,onset,0.0025681812901242615,0.005563163241546799,0.4616404693906117,0.6461912186739684,0.4715539674970156,0.5670979885186103,0.037098955115292376,67,0.16740019996436334,0.1020681729320897,3.208331484014707
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,offset,-0.004853280445013204,0.0035605522936503877,-1.3630695590872706,0.17794124888863325,0.03545073406371513,0.12089639838999505,-0.06296885990640289,67,0.7505157047858063,0.3382028965395877,0
Lepidoptera,Pieridae,Pieris,Pieris rapae,duration,-0.0019349365150652569,0.006482457443708356,-0.2984881168704374,0.7663865717365765,0.29030767580618044,0.36021024271391505,0.0012594691884100229,66,0.21935748390330112,0.5871939093134121,2.5388291472108904
Lepidoptera,Pieridae,Pieris,Pieris rapae,onset,0.008513157910670447,0.00576162160047372,1.4775628288345934,0.1448836270784999,0.3306430761058168,0.39700975321374327,0.02463647069483199,66,0.46734450277677525,0.2595194213501887,0.2616163790031578
Lepidoptera,Pieridae,Pieris,Pieris rapae,offset,0.006553518680489277,0.0037837632152005296,1.7320107807385505,0.08841021916898555,0.011817990582680182,0.08783961288562833,0.04560893984291266,66,0.5880457107718736,0.5632242897817431,0
Hymenoptera,Apidae,Bombus,Bombus griseocollis,duration,0.0056578635193252555,0.007414111430091431,0.7631209178165107,0.44854737851928006,0.09695145820790352,0.18533517661879842,0.012832822255611415,64,0.27175947177358273,0.9349464961484847,1.9714280188337625
Hymenoptera,Apidae,Bombus,Bombus griseocollis,onset,-0.009160975928973119,0.003800389750481537,-2.4105359003803115,0.01918802660214967,0.4066956535239906,0.4649287814133368,0.07861826324082155,64,0.5787283961173072,0.5875351511048155,0
Hymenoptera,Apidae,Bombus,Bombus griseocollis,offset,-0.002561238803913518,0.0052732756937887825,-0.485701668685807,0.6290518293779788,0.0667443437831039,0.16071067583251572,0.0014259939464264515,64,0.2323509171089135,0.3811316906137008,2.390167805566648
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,duration,0.016305624967002576,0.015465821669717071,1.0543005936069911,0.2965473312042558,0.07454742698416672,0.17202053215847943,0.03598407620194974,60,0.30684633834648845,0.5558466047982644,1.629809225750023
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,onset,0.007614908279869328,0.0155025226759181,0.49120446001336704,0.625272405833517,-0.01158430761754814,0.07415410134705493,0.004134192358203059,60,0.2403799423900375,0.7753770757414578,2.3011952384332517
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,offset,0.02122542499143371,0.009573760688169872,2.2170415245141433,0.030850883078254655,0.04848529789196543,0.12912726448228515,0.0596632533825235,60,0.8762314950305289,0.6580146670139041,0
Lepidoptera,Hesperiidae,Lon,Lon zabulon,duration,0.007641309899588331,0.00512753207033706,1.4902510203287773,0.14285708224163357,0.48685564038791074,0.5852902575950892,0.04272780568899526,59,0.2426872739529221,0.009616768877810211,2.2760052088376597
Lepidoptera,Hesperiidae,Lon,Lon zabulon,onset,-0.008712058490863487,0.005647638073349882,-1.5426021245897494,0.1293919233692302,0.4392945232820825,0.5285381006320196,0.05552047360407336,59,0.23387508335337692,0.1313547831743362,2.3731161840232744
Lepidoptera,Hesperiidae,Lon,Lon zabulon,offset,-0.0015330382687154926,0.0025675244937684756,-0.5970880793683805,0.5529909585311015,0.036344842931144705,0.11942518380140348,0.005917168791677654,59,0.2511959441983702,0.2707215689489607,2.184488105587775
Lepidoptera,Papilionidae,Papilio,Papilio troilus,duration,-0.020250245693510683,0.008137576842085362,-2.488485956750891,0.016232542260310234,0.19862459192464,0.29015525435769496,0.09123894658558848,57,0.8683154044120173,0.4028925714485133,0
Lepidoptera,Papilionidae,Papilio,Papilio troilus,onset,0.016539571496567318,0.0070079243372024765,2.360124153847503,0.022289133591373442,0.2799652141786978,0.3691042839395009,0.06283551685255867,57,0.904960224042373,0.38168594711644077,0
Lepidoptera,Papilionidae,Papilio,Papilio troilus,offset,-0.00376652056941928,0.0035260314378927735,-1.0682039101926522,0.29057964291094096,0.1329861364896131,0.22901922579573852,0.01946997430548056,57,0.3207887753668927,0.8209749291293147,1.5002985504822277
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,duration,-0.003072318866486759,0.0074992573793461,-0.40968308074721005,0.6838240305274783,0.04209476708970106,0.1308099304715278,0.0011302634634991482,55,0.24057832158223735,0.6666192120979675,2.2990229923336756
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,onset,-0.002505052229859643,0.004668073943767516,-0.536635079057437,0.5941748955871126,0.5841057260449929,0.6549780573204166,0.00178091224917043,55,0.19598240874066614,0.47507643996842314,2.8231924894718077
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,offset,-0.004634678062151344,0.005075122855690754,-0.9132149494577184,0.36560116451138736,0.17936145145545723,0.2553520142515747,0.012675164333049771,55,0.29885045397728777,0.32042320828175236,1.7055558046945976
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,duration,0.005019350639044129,0.009329794753943453,0.5379915390874579,0.5932827623205694,0.3219674748445458,0.4347627623243018,0.002931386719604412,54,0.20439735084520044,0.10388262238764706,2.718067958251595
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,onset,0.001666257911542959,0.0077355701769614375,0.21540208070317987,0.8304096009429731,0.29393025612974744,0.3894519339470603,-0.0010624349106320152,54,0.18852856162044593,0.01351980030252864,2.919199348621021
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,offset,0.006245266746883469,0.006664637650354314,0.9370752131665329,0.3539282073637926,0.24654594946768782,0.3857280359692562,0.021705858087063046,54,0.20410112071000813,0.06651038595583397,2.7217131618423878
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,duration,0.002660885100027488,0.007476571829594725,0.35589641358019614,0.7235232921595822,-0.010610914771660207,0.09376688362043002,1.1462042201283718e-4,53,0.22281592122600385,0.7181464270223894,2.4986625334125847
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,onset,0.0017566187830791175,0.0074186103909890935,0.23678542078618509,0.8138522747546693,-0.03399161070787926,0.0654335190752049,0.0011147119490231422,53,0.21421682308158382,0.34300031796526775,2.5993844079532664
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,offset,0.004108633456618759,0.004046942996746385,1.0152437185109777,0.31530370419575887,0.14213913759773256,0.24164731486687863,0.01386272008365061,53,0.3036032107010922,0.7195078404432598,1.6603959531188934
