order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,onset,32.76266595377003,10.565492750413588,3.1009122553690203,0.002076772680228376,0.20583123465997233,0.2346411583384141,0.019899951363238855,386,0.971749079760463,0.025910448908777806,0
Lepidoptera,Papilionidae,Papilio,Papilio glaucus,offset,23.485805461621748,5.159280338213102,4.552147571371547,7.1586974755289e-6,0.14045562715570714,0.1516348295325338,0.03258342103299723,386,0.9999676893983073,0.4487894476427333,0
Hymenoptera,Apidae,Bombus,Bombus impatiens,duration,30.428630541104166,13.601619438093124,2.23713291491488,0.026026016382733767,0.10453307962841496,0.1299575608106633,0.022989529154972252,304,0.7780631056106768,0.3668867588401548,0
Hymenoptera,Apidae,Bombus,Bombus impatiens,offset,20.871110815095648,8.052698155872696,2.591815862348535,0.010017411857926147,0.12928707887322743,0.1436754926387853,0.015726616586383496,304,0.9437405060173625,0.11242258830482582,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,duration,64.66203638198121,20.136214184793896,3.2112310580611285,0.0015323332429581934,0.2908091048222592,0.33540824599493696,0.034907221616759576,222,0.9508839604787271,0.009766058733743699,0
Hymenoptera,Apidae,Xylocopa,Xylocopa virginica,onset,-74.75936892084603,21.006377929905703,-3.5588890750372983,4.595070406737226e-4,0.11458159630199805,0.1500056644590022,-0.029049025481984708,222,0.4967034175331211,0.0035244413366805616,0.02637304188328926
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,onset,47.08703245563304,13.46501751853848,3.4969900626422628,5.802598920065463e-4,0.1644770005059344,0.21942821142122215,0.07903635076048696,214,0.9937543776649813,0.038268221069950425,0
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,offset,27.316181277066864,6.961759432345564,3.92374679741892,1.1917407012688925e-4,0.45936791990052805,0.4828352676463106,0.04286163623522604,214,0.9973520591101626,0.014274479295890596,0
Hymenoptera,Apidae,Apis,Apis mellifera,duration,55.10776567278099,26.842871668681084,2.0529757901081043,0.041624901022384614,0.3041097999429543,0.35381291106075186,0.006119812930382051,182,0.7038632075823861,0.016442049339702947,0
Hymenoptera,Apidae,Apis,Apis mellifera,onset,-55.17753442794832,21.955355039046204,-2.513169763359262,0.012923575624765106,0.39031413010232263,0.443789465827178,0.01302090174149323,182,0.8199920915020634,1.760109406551691e-4,0
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,offset,22.801608916933183,8.83038708941659,2.5821754681922613,0.010956040225369786,0.16556676906298218,0.2234186866683325,0.050338171985972735,137,0.8974898923045247,0.4999657055519052,0
Lepidoptera,Papilionidae,Battus,Battus philenor,onset,54.96793433363478,17.902895378407628,3.0703376840335364,0.0028504271296811517,0.26132140469962706,0.3357274651253774,0.012093386539793527,98,0.9567563119243998,0.29276026471565747,0
Lepidoptera,Papilionidae,Battus,Battus philenor,offset,65.01082519800374,12.010402408283658,5.41287652053734,4.905287054546255e-7,0.3153342835916323,0.3506325083295993,0.15987658053607473,98,0.9999991476283283,0.30475091495105083,0
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,offset,34.03328124731134,16.445531596322482,2.0694546143416734,0.04146138351875739,0.08391870207328711,0.14057507024611463,0.03765632328021745,94,0.738179286721922,0.7503273982481937,0
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,onset,-52.014070623470346,22.72828861518947,-2.2885168128632873,0.02564662938199958,0.40102839058320316,0.45582814152795326,-0.07417089187536463,67,0.9616009789633454,0.021125356674961127,0
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,offset,-45.42210800702444,15.032173666868799,-3.0216593430619847,0.0036787741387724867,0.12353895719022401,0.19489439425554198,0.011029135959144037,67,0.9929434347704267,0.24807692076215432,0
Lepidoptera,Pieridae,Pieris,Pieris rapae,offset,43.96256949236987,18.226844911752046,2.4119681549506304,0.01894232229883749,0.0541209406106965,0.12688585034712674,0.08465517730441106,66,0.8581528734869711,0.4929400464063718,0
Hymenoptera,Apidae,Bombus,Bombus griseocollis,onset,-41.15165211488197,16.420880627229273,-2.506056346737207,0.015078516820202125,0.4025082756976758,0.4578130638584609,0.0715025456859456,64,0.7140452717738742,0.28705966894840007,0
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,offset,73.4451553638275,31.816570919562466,2.3083931813239382,0.024834346531180315,0.05513262010203013,0.13522991817610375,0.0657659070763421,60,0.8970738359593685,0.6663010111929155,0
Lepidoptera,Papilionidae,Papilio,Papilio troilus,duration,-61.1393786666548,23.57754470213228,-2.5931189799048733,0.012449769974560604,0.1969070731250312,0.2848783566003015,0.085962048828195,57,0.8931222534355399,0.3780338003028108,0
