order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC,sig_flag
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,onset,47.08703245563302,13.465017518538481,3.496990062642261,5.802598920065497e-4,0.1644770005059344,0.21942821142122215,0.07903635076048665,214,0.9937543776649842,0.038268221069951036,0,significant
Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,offset,27.31618127706675,6.961759432345562,3.9237467974189046,1.1917407012689638e-4,0.45936791990052805,0.4828352676463103,0.04286163623522593,214,0.9973520591101614,0.014274479295890596,0,significant
Hymenoptera,Apidae,Apis,Apis mellifera,duration,55.1077656727809,26.842871668681077,2.052975790108101,0.04162490102238491,0.3041097999429542,0.35381291106075197,0.006119812930382051,182,0.7038632075824335,0.016442049339702614,0,significant
Hymenoptera,Apidae,Apis,Apis mellifera,onset,-55.17753442794856,21.955355039046214,-2.5131697633592713,0.012923575624764795,0.39031413010232274,0.443789465827178,0.013020901741493174,182,0.8199920915019123,1.760109406552246e-4,0,significant
Hymenoptera,Apidae,Apis,Apis mellifera,offset,-0.23803866069590363,19.727960134172058,-0.012066055439942911,0.9903871268430771,0.1550375677610918,0.20997764357743876,-2.7148327856579835e-5,182,0.23735601640624804,0.04845759209781242,2.334460257351111,not_significant
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,duration,-1.8731470146027827,14.769097991021123,-0.1268288026622589,0.899271208968029,0.1544049616862957,0.1890230415140598,-2.8227883755310712e-5,137,0.24816772703089685,0.5307495011761616,2.216816843140805,not_significant
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,onset,23.684579492042335,13.16699154815128,1.7987844379962243,0.0743551951139923,0.1262549674945107,0.15839017995234658,0.020784777815541916,137,0.6365776600644736,0.651096455957633,0,not_significant
Lepidoptera,Hesperiidae,Epargyreus,Epargyreus clarus,offset,22.801608916933453,8.830387089416579,2.582175468192295,0.010956040225368769,0.1655667690629823,0.2234186866683322,0.05033817198597229,137,0.897489892304535,0.4999657055519069,0,significant
Lepidoptera,Attevidae,Atteva,Atteva punctella,duration,-19.432667234542087,23.554099976108915,-0.8250227032343742,0.41162460689561187,0.13122760300511904,0.2397357202394869,-0.0052165074515667376,100,0.2937049013343234,0.6792734303492031,1.7549152212807257,not_significant
Lepidoptera,Attevidae,Atteva,Atteva punctella,onset,7.240873265528145,17.912058643125587,0.4042457324304874,0.6870085362105646,0.16631633881277919,0.25568916491925714,-0.001966376096985023,100,0.21655342541047648,0.6098055161925917,2.5717311713756317,not_significant
Lepidoptera,Attevidae,Atteva,Atteva punctella,offset,-6.887967403286162,14.444252417418285,-0.47686562130276683,0.6346380153699549,0.2020070987087158,0.2895455415749326,0.002166702002136034,100,0.21659310288305048,0.41749399260300524,2.5712634677182677,not_significant
Lepidoptera,Nymphalidae,Dione,Dione vanillae,duration,4.836241896000476,18.22310121798173,0.26539071687909477,0.7913074115150309,0.1102101929051279,0.18026207547736778,0.00139703355846299,100,0.22319565344895265,0.0512375779871318,2.4942795117920014,not_significant
Lepidoptera,Nymphalidae,Dione,Dione vanillae,onset,-7.517817105029751,15.072868122044504,-0.49876486970881984,0.6191384809158312,0.1368922387889363,0.19992935292733577,-0.002541781384054642,100,0.23329125681223778,0.0314068527536302,2.379638583990527,not_significant
Lepidoptera,Nymphalidae,Dione,Dione vanillae,offset,6.313758505364024,10.392962678591863,0.6075032404734347,0.5451338571564333,0.21440617616721402,0.3243594610666352,0.013354608599787543,100,0.29419069718657453,0.035423289557115156,1.750233809444353,not_significant
Lepidoptera,Papilionidae,Battus,Battus philenor,duration,15.734504973638275,17.536325371448093,0.8972521118510115,0.3720307321984003,0.19931756810604406,0.27305660395490033,0.018428560365179758,98,0.29722463596062554,0.4126852186111209,1.7210981974703827,not_significant
Lepidoptera,Papilionidae,Battus,Battus philenor,onset,54.9679343336348,17.902895378407642,3.070337684033535,0.0028504271296811625,0.26132140469962706,0.3357274651253777,0.012093386539793749,98,0.9567563119243975,0.29276026471565975,0,significant
Lepidoptera,Papilionidae,Battus,Battus philenor,offset,65.01082519800377,12.010402408283646,5.412876520537348,4.905287054546069e-7,0.3153342835916323,0.3506325083295992,0.159876580536074,98,0.9999991476283283,0.304750914951039,0,significant
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,duration,-1.927918677185634,22.538168893434815,-0.08554016461147476,0.9320301492321883,0.3606026355476146,0.4067933035089297,-1.6284320537668373e-4,94,0.23007529803032042,0.1910053111551075,2.4157721646611208,not_significant
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,onset,39.19865240223395,22.478441990666358,1.7438331543845549,0.08489830614904159,0.3704835015302155,0.43933069785909457,0.05193272601741045,94,0.22487138335898516,0.43228274915143444,2.4750007265876093,not_significant
Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,offset,34.033281247311436,16.44553159632248,2.069454614341679,0.04146138351875686,0.08391870207328789,0.14057507024611476,0.037656323280217716,94,0.738179286721955,0.7503273982481876,0,significant
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,duration,9.138082058213747,25.731835806379777,0.3551274820410642,0.7234600068777881,0.18892293107121316,0.2526607457782503,0.00323500362818388,85,0.2431726410229227,0.22466216547255025,2.2707270399649815,not_significant
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,onset,-2.086058294324004,25.71141797092696,-0.08113353750784194,0.9355438759475136,0.21876227292307493,0.27560426350634676,2.1196050985572423e-4,85,0.2285102913261711,0.11947770917008249,2.433484168789505,not_significant
Lepidoptera,Nymphalidae,Junonia,Junonia coenia,offset,4.6376289591601605,12.475724720859233,0.3717322290228247,0.7110874383430711,-0.024980739574159472,0.036039940466686106,0.001686280847170242,85,0.2470142085054432,0.44594798203136105,2.22920099827536,not_significant
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,duration,-45.59683081282577,27.7738180032556,-1.6417199395301356,0.1061710352273446,0.5144587318718282,0.6000851662475867,0.03133491454915327,70,0.41714284918157046,0.6300463192467683,0.669026809760453,not_significant
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,onset,34.406164322906555,24.098249437818723,1.4277453809118203,0.1584583139524545,0.49585974655956655,0.5537343173633158,0.017952754627012735,70,0.4257188593715634,0.9963326808460975,0.5986797891390552,not_significant
Lepidoptera,Lycaenidae,Elkalyce,Elkalyce comyntas,offset,-8.856246773063539,18.7065165174985,-0.47343110433090013,0.6375694047204343,0.02492921014795102,0.12437673105323194,0.010115542394498439,70,0.21087009424468098,0.578561528320806,2.639377353164946,not_significant
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,duration,6.5122543032388744,21.006729759328422,0.31000800114291893,0.7576393282360346,0.3507604415490636,0.4153684388618665,4.7572977998272536e-4,67,0.22499658620413657,0.018503414818436092,2.473564409156552,not_significant
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,onset,-52.01407062346991,22.728288615189502,-2.288516812863265,0.025646629382000945,0.40102839058320305,0.4558281415279538,-0.07417089187536408,67,0.9616009789633433,0.02112535667496357,0,significant
Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,offset,-45.422108007024725,15.0321736668688,-3.0216593430620033,0.0036787741387722867,0.12353895719022323,0.19489439425554228,0.011029135959144815,67,0.9929434347704267,0.24807692076215904,0,significant
Lepidoptera,Pieridae,Pieris,Pieris rapae,duration,-0.3494691301303041,32.12106869784114,-0.010879747913050975,0.99135633459838,0.28912491655845074,0.3589565317093637,5.7581838581732825e-6,66,0.2142625848487738,0.5842476590781611,2.598840728720461,not_significant
Lepidoptera,Pieridae,Pieris,Pieris rapae,onset,45.897015954776656,28.440342496175447,1.6137996917916413,0.11194085867048964,0.3336954496347756,0.3990026833945307,0.026629400875619658,66,0.526479119807972,0.26446991437266465,0,not_significant
Lepidoptera,Pieridae,Pieris,Pieris rapae,offset,43.96256949236995,18.226844911752014,2.4119681549506393,0.018942322298837043,0.05412094061069783,0.12688585034712663,0.08465517730441108,66,0.8581528734869642,0.49294004640637135,0,significant
Hymenoptera,Apidae,Bombus,Bombus griseocollis,duration,29.424693789172572,31.236128008495378,0.9420083622774837,0.3501807159489495,0.10392056478407263,0.19270089316272956,0.02019853879954256,64,0.3073180650748485,0.9316517781509499,1.6253753432303029,not_significant
Hymenoptera,Apidae,Bombus,Bombus griseocollis,onset,-41.15165211488192,16.42088062722925,-2.506056346737208,0.015078516820202082,0.40250827569767667,0.4578130638584631,0.07150254568594744,64,0.7140452717738278,0.2870596689484613,0,significant
Hymenoptera,Apidae,Bombus,Bombus griseocollis,offset,-5.129995321400027,22.290354651557514,-0.23014417677924087,0.8188088974068606,0.0643797417212093,0.1588056834531596,-4.7899843292950606e-4,64,0.21768941114794327,0.37697647634731546,2.558365013463799,not_significant
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,duration,100.11622306592568,50.421249669642584,1.9855958295734832,0.052327632065869746,0.13323417924818015,0.2309809748711376,0.09494451891460981,60,0.6550143288795053,0.5317400716408613,0,not_significant
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,onset,-12.384341821959062,51.787777080017754,-0.23913638546068322,0.8119051474798035,-0.015023561528876517,0.07101258299164775,9.926740027949715e-4,60,0.22215219180145476,0.6927733178699602,2.506336380228049,not_significant
Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,offset,73.44515536382724,31.816570919562484,2.308393181323929,0.02483434653118086,0.055132620102030794,0.1352299181761047,0.0657659070763455,60,0.8970738359593529,0.666301011192936,0,significant
Lepidoptera,Hesperiidae,Lon,Lon zabulon,duration,6.786196448780798,27.487859290133578,0.2468797725262155,0.806059983041691,0.44953773122916296,0.5469696996689788,0.004407247762884481,59,0.16144137477144235,0.022150677365331273,3.295084846719874,not_significant
Lepidoptera,Hesperiidae,Lon,Lon zabulon,onset,-11.455991802465016,30.06423159680388,-0.38105054391887067,0.7047797790845615,0.39352437680628505,0.4770745659453721,0.004056938917425035,59,0.20037323211479066,0.18403481515746334,2.767926581306142,not_significant
Lepidoptera,Hesperiidae,Lon,Lon zabulon,offset,-4.299036454144018,13.119451089676323,-0.3276841709884435,0.744441412251307,0.03182747295970212,0.1153009656986075,0.0017929506888824248,59,0.22606448947113988,0.24248343259156646,2.4613364803576587,not_significant
Lepidoptera,Papilionidae,Papilio,Papilio troilus,duration,-61.13937866665489,23.577544702132307,-2.5931189799048737,0.01244976997456059,0.19690707312503097,0.2848783566003019,0.0859620488281963,57,0.8931222534355289,0.37803380030281314,0,significant
Lepidoptera,Papilionidae,Papilio,Papilio troilus,onset,54.476626219197044,20.109042570790955,2.709061161287019,0.00925662338726455,0.2961280097046667,0.3811728416998899,0.07490407461301646,57,0.9569294634550257,0.41736904131553354,0,significant
Lepidoptera,Papilionidae,Papilio,Papilio troilus,offset,-5.261611797971646,10.306211571998592,-0.5105282150685859,0.6119357959170135,0.11713501213051958,0.2144126470296575,0.004863395539401599,57,0.22571512701517615,0.7154194643446886,2.4653323091712878,not_significant
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,duration,-14.782257645363323,35.82788833526587,-0.41259081492706756,0.6817062130484123,0.04214578753007181,0.13085763397823524,0.0011779669702036144,55,0.2408152189312449,0.6703552030361364,2.2964305762099,not_significant
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,onset,-15.434232819116286,22.721978140554796,-0.6792644867292101,0.5004797912568624,0.589740533662505,0.661089072709626,0.007891927638380314,55,0.20341848176389118,0.43531641746336813,2.730128252108557,not_significant
Hymenoptera,Apidae,Bombus,Bombus bimaculatus,offset,-22.345037185578093,24.243116830480073,-0.9217064514363275,0.36119782113899435,0.17961806444563888,0.25558417918288207,0.012907329264357004,55,0.3006759167771841,0.35261052622643263,1.6881625538085814,not_significant
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,duration,20.199397804420997,26.328080851365893,0.7672187698927192,0.4468225776685787,0.2603189276286726,0.3498460595659924,-0.08198531603870407,54,0.5915781901557173,0.1668384700033853,0,not_significant
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,onset,7.2873709721044255,20.93640671157424,0.3480717141435622,0.7293824930901265,0.29876114543975796,0.3945471966592603,0.004032827801568772,54,0.2043692311250749,0.012096887024613034,2.7184138113787526,not_significant
Lepidoptera,Nymphalidae,Speyeria,Speyeria cybele,offset,14.98925832927204,19.460050718314903,0.7702579271884857,0.4452674409163271,0.22198173348271044,0.35479095957090134,-0.009231218311292422,54,0.29378030718486986,0.1395341234327363,1.754188270360146,not_significant
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,duration,23.516499518664187,38.43688348978407,0.6118211827687463,0.5436288268949623,-0.0049249190687064015,0.09915968371462378,0.005507420516206368,53,0.24531476867889565,0.7084875653478395,2.247517188215511,not_significant
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,onset,-6.05319205737984,38.29632935879176,-0.15806193853903122,0.8750851591526085,-0.03467532346199809,0.06481591559574196,4.971084695596373e-4,53,0.21127637820201142,0.31978304503793775,2.634497689160753,not_significant
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,offset,16.55746145458432,20.925097282424023,0.7912728543676456,0.4328518576306548,0.13622924633883604,0.2370100834963817,0.00922548871315304,53,0.25891645984812484,0.7233908766276311,2.1032157957340587,not_significant
Lepidoptera,Crambidae,Udea,Udea rubigalis,duration,0.0011055936475918428,45.12212787782484,2.450224977388941e-5,0.9999805927497731,0.45527141301745955,0.5678135210030082,-0.002828231234123124,44,0.15736486925233062,0.08373697626326365,3.35593384989744,not_significant
Lepidoptera,Crambidae,Udea,Udea rubigalis,onset,-8.716305419331116,23.630811185013517,-0.36885341561439633,0.7147687446224426,0.8723062007888851,0.9088352799952325,-0.002229056369200455,44,0.18362184009978705,0.05829079708377005,2.9839985059191463,not_significant
Lepidoptera,Crambidae,Udea,Udea rubigalis,offset,-18.7624682341521,40.426042761600364,-0.4641183492729611,0.6453928810269662,0.3856395766058043,0.49212653949697216,0.00840417559254808,44,0.1745602933480036,7.817651422571958e-4,3.107292039059132,not_significant
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,duration,-47.682114424843746,33.12065404759138,-1.4396489379807798,0.1615614763835916,0.39094734919702334,0.5710276134630164,0.02592943927771374,39,0.5118027462453815,0.1892556394042758,0,not_significant
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,onset,58.97492660589373,23.817952031061086,2.476070424904051,0.020031820598833096,0.5797978284358736,0.7091500057612656,0.01760625292018636,39,0.9367991385551857,0.04810482248982856,0,significant
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,offset,11.27469445041858,24.794119010358973,0.4547326100075594,0.6530311378012846,0.2786201002924068,0.5004866974295318,-0.004885643782830518,39,0.129810290376632,0.21998761164660446,3.805274330155669,not_significant
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,duration,-112.59207417194523,73.0709388485883,-1.54085982671236,0.13765323680624952,0.5972567862368525,0.767501686324331,0.3561389806421893,39,1.0995655633536005e-7,0.07649714088491577,32.046360763227085,not_significant
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,onset,34.0998459972433,33.17213536406762,1.0279665635930264,0.3119274614415288,0.6545156243345526,0.7184221099608101,0.005623602338011957,39,0.28454150615086454,0.09223771011075932,1.8440889056544165,not_significant
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,offset,-37.58083937878859,59.093121358085256,-0.6359596263507697,0.5294689918677082,0.08968958381537129,0.2571657055606998,-0.0010651757993935251,39,0.219120720657461,0.566758630591802,2.5415955043340546,not_significant
Lepidoptera,Geometridae,Scopula,Scopula limboundata,duration,58.25558969979653,35.26206278952601,1.65207549108841,0.10874453041984522,0.39471060335298613,0.5125314490970082,0.038930335821452944,39,0.4598536359144428,0.46876294808809177,0.3218637827553721,not_significant
Lepidoptera,Geometridae,Scopula,Scopula limboundata,onset,4.503257456376985,33.87534051613447,0.13293615319474442,0.8950512059084683,0.21685163720761114,0.3199002695013763,3.635471742733376e-4,39,0.18490033939094924,0.49747669944566625,2.9669868295831066,not_significant
Lepidoptera,Geometridae,Scopula,Scopula limboundata,offset,66.57538822135626,22.97716179331384,2.897459173601203,0.007320689090405355,0.42893091070378253,0.5887600010047923,0.19616310985622554,39,0.4306106846295494,0.15724536622088459,0.5587200239531853,significant
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,duration,153.62313247714252,83.18490719843483,1.8467668913866748,0.07477867393682185,0.3275368455181954,0.47503582731310035,0.12073468377961927,39,0.18714819460005205,0.2236971082487112,2.937296048509779,not_significant
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,onset,-83.83275494487357,85.02108697832973,-0.986023090556828,0.33218497006817627,0.3014121824253332,0.4606946447387064,0.0411461225968342,39,0.1332432798796617,0.3075295757097837,3.745163416846367,not_significant
Hymenoptera,Vespidae,Vespula,Vespula maculifrons,offset,64.46440844728097,41.30763872350959,1.5605929179048443,0.128308460367217,0.004072761646031986,0.1484503734313897,0.04701040826207557,39,0.47622691404815043,0.7752689266091548,0.19032819525642708,not_significant
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,duration,-40.279517398231256,39.90861765519874,-1.0092937256368288,0.32291650709555586,0.5755915014695279,0.7094054845975359,-0.013683215749966227,36,0.08227774486309843,0.005861348176217751,4.823588268392825,not_significant
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,onset,39.25845592744236,35.93042181632229,1.0926244097030955,0.28668975591078316,0.6474418252271563,0.7841286939577219,-0.003370770554689151,36,0.3110411547434088,0.0013987523901018983,1.5905126086363452,not_significant
Lepidoptera,Pieridae,Phoebis,Phoebis sennae,offset,8.415532467614396,15.798487332341155,0.5326796351184155,0.5981792736772902,0.23023045028425893,0.34020217215490417,0.0062397699680020735,36,0.20064893149985372,0.017789700184107027,2.7644869252327453,not_significant
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,duration,91.60544239144126,62.17214750976017,1.4734160884029375,0.15141147080262815,0.2826474589401611,0.38814684716665704,0.045805825783603094,35,0.4229434126687098,0.018154059609503892,0.6214038788604057,not_significant
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,onset,5.856641447456247,37.0513710659223,0.15806814374118658,0.8755222965806082,0.12608158320164475,0.27042408111045735,0.0014747373089593063,35,0.15958223424981374,0.569557113062249,3.32267948757584,not_significant
Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,offset,103.80834590468932,55.9465128999918,1.855492693356131,0.07405846569478276,0.30173534921477685,0.4236980589379882,0.08720026935300351,35,0.4990795145056562,0.012093329795689056,0.007363892273929196,not_significant
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,duration,-69.96610603569029,40.93994279733995,-1.7089937419315664,0.09889883742216689,0.27902039852305405,0.40879022058427233,0.06355449972168292,34,0.4297850183262793,0.7803262057448038,0.5654566485318355,not_significant
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,onset,36.612009988209095,34.10510003356641,1.0735054274045635,0.2928825098474379,0.3200853790476852,0.4629555204614551,0.013263623853258355,34,0.2949229004642624,0.6027525613838065,1.7431863801079999,not_significant
Lepidoptera,Nymphalidae,Euptoieta,Euptoieta claudia,offset,-29.578641447463315,27.093212779329583,-1.091736210407278,0.28425449854364604,-0.08177880917220826,0.08213795711452922,0.03908071684045989,34,0.29106157143073663,0.6197999602242054,1.78046769931899,not_significant
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,duration,-11.902323962176364,95.39380203603078,-0.12477041178923542,0.9016650589467918,0.0389819457853966,0.19402949527993832,3.7958115159214545e-4,32,0.1623635082845105,0.2507700618718541,3.2814930516126424,not_significant
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,onset,-16.173939859265506,49.48828348169362,-0.3268236180640305,0.7472789942303408,0.5077894059235494,0.6899900182440177,0.005776608595473687,32,0.05153675722790163,0.20664280339146607,5.825095499904023,not_significant
Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,offset,-23.872871513557143,82.77939191183845,-0.2883914820126027,0.7756218487984862,0.09904965740930172,0.32939210819045456,-0.005839914685463354,32,0.12638487621536318,0.5090272989411475,3.866616185012276,not_significant
Lepidoptera,Pieridae,Abaeis,Abaeis nicippe,duration,-81.30946131523551,30.827318052517917,-2.637578175847649,0.01573455602265706,0.5920956499242387,0.7263378924876579,0.06075175566335378,31,0.9055807729154802,0.11944476502132656,0,significant
Lepidoptera,Pieridae,Abaeis,Abaeis nicippe,onset,61.459560434455675,37.79141500032924,1.6262836528857212,0.11987144114969778,0.4695394912273726,0.6536761371096161,-0.08348263773089959,31,0.9974513466351377,0.40891885185397653,0,not_significant
Lepidoptera,Pieridae,Abaeis,Abaeis nicippe,offset,-3.8210348665546023,23.741713985588042,-0.16094182875230023,0.8735210419289049,0.10919775822378208,0.30537993298134136,0.006415894549586854,31,0.11405024118161378,0.3476750659951826,4.100042359891631,not_significant
Lepidoptera,Geometridae,Prochoerodes,Prochoerodes lineola,duration,-29.391378519456023,37.42821114393775,-0.7852733972891607,0.43968877622676816,0.2263973727867009,0.3567754369989628,0.006090441308575445,31,0.2633016875301109,0.10160284501988437,2.057755974779468,not_significant
Lepidoptera,Geometridae,Prochoerodes,Prochoerodes lineola,onset,2.497822379243393,23.236615985165596,0.10749510087174564,0.9152542558800716,0.5817157594884768,0.6514309885249482,1.608992008528265e-4,31,0.15743620493727428,0.5959336090648357,3.3548581046164827,not_significant
Lepidoptera,Geometridae,Prochoerodes,Prochoerodes lineola,offset,-25.19140319703646,33.00579691761267,-0.7632417802217566,0.45258387883914963,0.07066739830220337,0.23866179754878514,0.008928099304530257,31,0.21357936171623634,0.1877825901874936,2.606966662504192,not_significant
Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,duration,70.31523687579968,63.53103180417235,1.106785690063069,0.2789231121102934,0.173276482116845,0.31106955900939726,0.03375718496320623,31,0.2802406362040111,0.7674338802601325,1.886536580198424,not_significant
Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,onset,-2.684235984189313,45.90931449824927,-0.05846822183092441,0.9538405311512428,0.21816988914227875,0.3484880888524406,8.829299484025555e-5,31,0.156733010800862,0.7160470592163171,3.3654796628630947,not_significant
Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,offset,98.27845279412858,59.170688339984906,1.6609313758433397,0.11071667375063532,0.13487052402509792,0.3565837888489997,0.16548704030411812,31,0.20978948452096308,0.8178748012081418,2.652389623982174,not_significant
Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,duration,42.32546183506821,34.85662819344953,1.214272981315567,0.23967059866373383,0.7054457803370968,0.8089684664211947,0.002156479335466699,30,0.2151124465467914,0.00228815977443364,2.5887591298238135,not_significant
Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,onset,0.9939834282780826,27.186552074906743,0.036561584769535076,0.9712016413955027,0.4607156596391775,0.6327713218766797,0.0012676160695175298,30,0.07572834978364577,0.02249489792124887,5.0037068601481,not_significant
Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,offset,47.27546631127205,27.020232260333767,1.7496321221736262,0.0969978414465944,0.7107164219589606,0.8181661583056121,0.017061408306374704,30,0.5394127809362391,0.0038370041408696265,0,not_significant
Lepidoptera,Geometridae,Pleuroprucha,Pleuroprucha insulsaria,duration,-76.90729303194534,63.702260008034564,-1.207293006908158,0.239589251039948,-0.015658696096453317,0.1657287339833792,-0.05503108526430589,29,0.8137443774154758,0.34969276503857477,0,not_significant
Lepidoptera,Geometridae,Pleuroprucha,Pleuroprucha insulsaria,onset,-8.255966833926697,31.781956298943392,-0.2597689945914743,0.7975765327290637,0.5739645978667554,0.6810807593525062,0.005542557640567214,29,0.09864930043710857,0.0033126916587258304,4.42464654898896,not_significant
Lepidoptera,Geometridae,Pleuroprucha,Pleuroprucha insulsaria,offset,-89.51838236691182,42.69392923582147,-2.0967473354924486,0.049836822468374654,0.5864361394367426,0.7233990874911638,0.0676131017302104,29,0.9779649764585839,0.40048518719108395,0,significant
Lepidoptera,Nymphalidae,Vanessa,Vanessa virginiensis,duration,23.549336318834378,71.6445409919623,0.32869686919309515,0.7455702202687136,0.05669384202643157,0.27688708534555806,0.011761716504736897,29,0.11241918404978932,0.6190876975602888,4.132529955867767,not_significant
Lepidoptera,Nymphalidae,Vanessa,Vanessa virginiensis,onset,44.97352589687234,51.10087278288776,0.8800931069798225,0.38893006942216723,0.1262240991976209,0.35516426461422645,-0.02738936127680125,29,0.332459577732565,0.6824055607179009,1.3941633283368446,not_significant
Lepidoptera,Nymphalidae,Vanessa,Vanessa virginiensis,offset,81.21943203148894,70.88628208495703,1.1457707985608223,0.2638399730176434,0.034943385928397075,0.21855243841821956,0.0696211505060374,29,0.17143059837341754,0.5984177685302001,3.151044181335294,not_significant
