system:index,Bioregions,OBJECTID,OBJECTID_1,Shape_Area,Shape_Leng,pop_den_2000,pop_den_2005,pop_den_2010,pop_den_2015,pop_den_2020,grid_id
00000000000000000011,NA24,126,127,5.87464319123E11,5327422.291,14.787699917641456,16.32946913870711,18.031983305916178,19.912002161883624,21.988032292699348,18
00000000000000000012,NA24,126,127,5.87464319123E11,5327422.291,9.854356431387531,10.881774045209129,12.016310318148623,13.269133860892044,14.652576896388307,19
00000000000000000013,NA24,126,127,5.87464319123E11,5327422.291,13.738200324471913,15.170548234865926,16.752233549907356,18.49882544896959,20.427517337490638,20
00000000000000000014,NA24,126,127,5.87464319123E11,5327422.291,133.17848552767208,147.06370431835705,162.39660078374112,179.32811011557726,198.02490388729132,21
00000000000000000015,NA24,126,127,5.87464319123E11,5327422.291,119.90314852119118,132.40427623980887,146.20877599968475,161.45254265442088,178.2856247866594,22
00000000000000000016,NA24,126,127,5.87464319123E11,5327422.291,276.11545124141855,280.73421667248425,285.5973985469836,290.7281582,296.1520374784455,23
00000000000000000017,NA24,126,127,5.87464319123E11,5327422.291,625.7717984530791,631.911576,638.1116196790119,644.3724748449455,650.6947681347759,24
00000000000000000018,NA24,126,127,5.87464319123E11,5327422.291,788.6726243151578,796.4107170394972,804.2247399763147,812.1154376111035,820.0835144949849,25
00000000000000000019,NA24,126,127,5.87464319123E11,5327422.291,199.88103973531275,201.8421821950752,203.82255557764353,205.8223844332115,207.84180872908263,26
0000000000000000001a,NA24,126,127,5.87464319123E11,5327422.291,14.223605103926227,15.612730463303347,17.137521570379082,18.811230228036486,20.64839835039435,27
0000000000000000001b,NA24,126,127,5.87464319123E11,5327422.291,17.552592416301948,19.266837794693725,21.14850153,23.213935493876384,25.481086243451585,28
0000000000000000001c,NA24,126,127,5.87464319123E11,5327422.291,11.202290789129231,12.296344288755623,13.497246475056382,14.815432986157688,16.262357987905208,29
0000000000000000001d,NA24,126,127,5.87464319123E11,5327422.291,21.34284885277168,23.42726323,25.71524833382339,28.226685803503383,30.983398949905144,30
0000000000000000001e,NA24,126,127,5.87464319123E11,5327422.291,25.681278787394284,28.18939893481289,30.942469946040788,33.96441593408899,37.281494870393175,31
0000000000000000001f,NA24,126,127,5.87464319123E11,5327422.291,19.135513352141867,21.00435202560133,23.055707725508825,25.30740525637085,27.779011769968033,32
00000000000000000020,NA24,126,127,5.87464319123E11,5327422.291,22.439322840609524,24.63082292798167,27.03635131289634,29.676812314264232,32.575149439382336,33
00000000000000000021,NA24,126,127,5.87464319123E11,5327422.291,11.795140602990891,12.947093706240425,14.211550632326352,15.59949812199097,17.122997817004393,34
00000000000000000022,NA24,126,127,5.87464319123E11,5327422.291,3.2409517646925483,3.5156445483415726,3.817242306961686,4.148372733482063,4.511919843858016,35
00000000000000000023,NA24,126,127,5.87464319123E11,5327422.291,3.7334068523842907,3.726473630409523,3.719553256272108,3.7126457710597336,3.705751140118902,36
00000000000000000024,NA24,126,127,5.87464319123E11,5327422.291,6.6642243085445045,6.651848429626119,6.639495440156506,6.627165329314883,6.614858204216729,37
00000000000000000025,NA24,126,127,5.87464319123E11,5327422.291,5.708816998988626,5.698215240389502,5.687633224574746,5.677070762,5.666528055728426,38
00000000000000000026,NA24,126,127,5.87464319123E11,5327422.291,1.2409877572622265,1.2760726734202967,1.3149907347836038,1.358141166,1.4059649679528008,39
00000000000000000027,NA24,126,127,5.87464319123E11,5327422.291,3.411169014891747,3.766818296123509,4.1595477031026915,4.593223059971079,5.072113578965494,40
00000000000000000028,NA24,126,127,5.87464319123E11,5327422.291,16.312131598052446,18.012838221550055,19.89086144637947,21.96468719782332,24.25473093047103,41
00000000000000000029,NA24,126,127,5.87464319123E11,5327422.291,71.52979421147162,78.98750866788531,87.22276400136774,96.31663273422909,106.3586282875466,42
0000000000000000002a,NA24,126,127,5.87464319123E11,5327422.291,889.9706360546705,982.7591996868165,1085.221904360901,1198.3674018848303,1323.3094726115455,43
0000000000000000002b,NA24,126,127,5.87464319123E11,5327422.291,157.54246688708687,173.9678824378374,192.10581701390333,212.1348151128408,234.2520428545596,44
0000000000000000002c,NA24,126,127,5.87464319123E11,5327422.291,96.33340677030166,106.37715198206924,117.4680571451693,129.71530746162117,143.23945515302327,45
0000000000000000002d,NA24,126,127,5.87464319123E11,5327422.291,45.233861661558024,49.94995576013537,55.15774945664919,60.90850968848998,67.25884613838569,46
0000000000000000002e,NA24,126,127,5.87464319123E11,5327422.291,13.336077757785965,14.726500398578516,16.261889064090322,17.957357614379625,19.82959577679776,47
0000000000000000002f,NA24,126,127,5.87464319123E11,5327422.291,10.275111695112319,11.346397304832974,12.529375606719446,13.835690985000108,15.278203580880922,48
00000000000000000030,NA24,126,127,5.87464319123E11,5327422.291,45.74020891225353,50.50909372347168,55.77518399,61.590319212256745,68.01173995299986,49
00000000000000000031,NA24,126,127,5.87464319123E11,5327422.291,45.61726995,50.37325769300403,55.62510499581862,61.424511661033904,67.82856357055171,50
00000000000000000032,NA24,126,127,5.87464319123E11,5327422.291,45.205981713249265,48.703011822294364,52.55271086037339,56.79172993502811,61.460544539492766,51
00000000000000000033,NA24,126,127,5.87464319123E11,5327422.291,227.07620493281865,229.67175950246073,232.3311073833168,235.05886687719575,237.86012254415556,52
00000000000000000034,NA24,126,127,5.87464319123E11,5327422.291,594.0156596388812,599.8438664355222,605.7292482323362,611.6724014616398,617.6738484290624,53
00000000000000000035,NA24,126,127,5.87464319123E11,5327422.291,672.7671051160677,679.3695035375623,686.0369277492177,692.7700630836355,699.5695842879842,54
00000000000000000036,NA24,126,127,5.87464319123E11,5327422.291,169.7257235167975,171.39099652723465,173.07260811191867,174.7707163656939,176.48548704712005,55
00000000000000000037,NA24,126,127,5.87464319123E11,5327422.291,84.14841225879378,84.97403594063658,85.8077643,86.64967000490665,87.49983763256749,56
00000000000000000038,NA24,126,127,5.87464319123E11,5327422.291,52.14046554,52.652044453514854,53.16864213486775,53.69030913016606,54.217094518680554,57
00000000000000000039,NA24,126,127,5.87464319123E11,5327422.291,11.249272761285411,11.394907877406972,11.542911855082247,11.693333647042882,11.846222473763316,58
0000000000000000003a,NA24,126,127,5.87464319123E11,5327422.291,0.2892587964351361,0.3036507482712085,0.3187587375824268,0.3346184239937709,0.351267221,59
0000000000000000003b,NA24,126,127,5.87464319123E11,5327422.291,3.9455750770188143,4.32657418,4.744838631545609,5.204007578010146,5.7080746643683495,60
0000000000000000003c,NA24,126,127,5.87464319123E11,5327422.291,7.1546448997422445,7.853326482037235,8.620244352,9.462062998282441,10.386097385184065,61
0000000000000000003d,NA24,126,127,5.87464319123E11,5327422.291,5.244251291,5.756422554851599,6.3186141275596555,6.935711230722071,7.613076125415248,62
0000000000000000003e,NA24,126,127,5.87464319123E11,5327422.291,5.518884821992376,6.057877585468462,6.649510363049653,7.2989238948689525,8.011761416,63
0000000000000000003f,NA24,126,127,5.87464319123E11,5327422.291,11.73709261192155,12.883376483779116,14.14161039437802,15.522727621127462,17.038729259448274,64
00000000000000000040,NA24,126,127,5.87464319123E11,5327422.291,16.142891030367494,17.719460220836936,19.45000239141593,21.349554600412233,23.43462428,65
00000000000000000041,NA24,126,127,5.87464319123E11,5327422.291,14.435096804711616,15.844876896697048,17.392340719306993,19.090935398587575,20.955420372324575,66
00000000000000000042,NA24,126,127,5.87464319123E11,5327422.291,15.705851501302568,17.239737893946945,18.923428829803022,20.77155463038957,22.80017441533919,67
00000000000000000043,NA24,126,127,5.87464319123E11,5327422.291,34.08159961918954,37.410123365315314,41.06372173893035,45.074143708490006,49.476235421858625,68
00000000000000000044,NA24,126,127,5.87464319123E11,5327422.291,11.194437400310976,11.80780748447515,12.481971903524956,13.222867266032315,14.037009035420697,69
00000000000000000045,NA24,126,127,5.87464319123E11,5327422.291,18.07533775972811,18.041770035818892,18.008265635975423,17.974822705335118,17.94144201270829,70
00000000000000000046,NA24,126,127,5.87464319123E11,5327422.291,7.361594089004308,7.3479230366490045,7.334277333306612,7.320656982843883,7.307061914,71
00000000000000000047,NA24,126,127,5.87464319123E11,5327422.291,5.247487607463678,5.237742516989924,5.228015680797766,5.218306815084161,5.208616056968051,72
00000000000000000048,NA24,126,127,5.87464319123E11,5327422.291,3.160200654214832,3.2216646126458572,3.2900345621117966,3.366029631,3.4504436623236865,73
00000000000000000049,NA24,126,127,5.87464319123E11,5327422.291,1.561905951176295,1.724750650920886,1.9045735352165718,2.1031448372014907,2.3224192686017435,74
0000000000000000004a,NA24,126,127,5.87464319123E11,5327422.291,4.013311152096404,4.431739964941915,4.893794271187064,5.404022391008028,5.967447066197199,75
0000000000000000004b,NA24,126,127,5.87464319123E11,5327422.291,72.31830738754915,79.85822965933966,88.18427061560095,97.37838063,107.53107748637166,76
0000000000000000004c,NA24,126,127,5.87464319123E11,5327422.291,105.23676948676102,116.2087831553229,128.32473649159235,141.70390505927625,156.47798863151567,77
0000000000000000004d,NA24,126,127,5.87464319123E11,5327422.291,270.37449024908153,298.5637961325517,329.69213128893847,364.06591226391345,402.02351192757874,78
0000000000000000004e,NA24,126,127,5.87464319123E11,5327422.291,363.4186378325932,401.3087515851134,443.1492991100017,489.35214892964433,540.3721274221837,79
0000000000000000004f,NA24,126,127,5.87464319123E11,5327422.291,28.46776339942784,31.43581955982075,34.71332552265653,38.332545018550924,42.32910550986137,80
00000000000000000050,NA24,126,127,5.87464319123E11,5327422.291,22.65845646956376,25.020832928218578,27.629511281800756,30.51017044,33.691168249213824,81
00000000000000000051,NA24,126,127,5.87464319123E11,5327422.291,3.783050813922044,4.177472584423998,4.613016907539306,5.093971175,5.625069825827729,82
00000000000000000052,NA24,126,127,5.87464319123E11,5327422.291,21.719242050199068,23.983695635910895,26.484241519092354,29.245494949351418,32.29463758,83
00000000000000000053,NA24,126,127,5.87464319123E11,5327422.291,11.072371095899868,12.415712349308196,13.931881962687331,15.644181311036304,17.579185948849606,84
00000000000000000054,NA24,126,127,5.87464319123E11,5327422.291,26.601357444802424,30.15796016005342,34.277729007695285,39.05088659,44.58212204659969,85
00000000000000000055,NA24,126,127,5.87464319123E11,5327422.291,34.71509951695034,37.303017819978024,40.27677575,43.69797336832575,47.63808457027472,86
00000000000000000056,NA24,126,127,5.87464319123E11,5327422.291,44.28780400393494,48.688793442677266,53.76914981340021,59.63757480953923,66.42020778,87
00000000000000000057,NA24,126,127,5.87464319123E11,5327422.291,42.45224085279863,46.78690366886907,51.792531636894985,57.57650472955149,64.26342112391548,88
00000000000000000058,NA24,126,127,5.87464319123E11,5327422.291,37.65185528277345,41.93362778676028,46.88491883565344,52.61294310803057,59.24211054762817,89
00000000000000000059,NA24,126,127,5.87464319123E11,5327422.291,60.242399175165836,66.46404119912862,73.64982248,81.95405114727645,91.55578017926054,90
0000000000000000005a,NA24,126,127,5.87464319123E11,5327422.291,32.49160743556872,34.58909080277831,36.99244096301798,39.750415264107005,42.919589964634106,91
0000000000000000005b,NA24,126,127,5.87464319123E11,5327422.291,8.779474676648514,8.97130156,9.167828967523503,9.369177921361343,9.575473270927327,92
